country,Ladder,LogGDP,Social,HLE,Freedom,Generosity,Corruption,Positive,Negative,gini
Mongolia,5.056999683,9.337590218,0.947489381,62.92665482,0.759740949,0.074671298,0.900452137,0.694095433,0.171171755,0.386413842
Montenegro,5.304066181,9.651939392,0.865743697,66.52256012,0.568633676,-0.088770859,0.848966599,0.59142518,0.336675465,0.356859386
Morocco,5.38630724,8.907473564,0.655409336,64.11890411,0.816556096,-0.249510631,0.717356145,0.712659359,0.205413148,0.528209746
Myanmar,4.623119831,,0.793461978,57.22917938,0.877491176,,0.607286572,0.804009914,0.301501393,0.426540643
Nepal,5.099539757,7.740420818,0.837043643,61.05636597,0.839488447,0.184085652,0.81711489,0.627351165,0.369661748,0.483672142
Netherlands,7.540877342,10.75715065,0.925944209,71.26724243,0.907310009,0.226082265,0.43330425,0.838432372,0.214850739,0.417054057
New Zealand,7.225687981,10.46762657,0.93660289,71.47316742,0.926576018,0.256161302,0.278270781,0.832944691,0.207413629,0.419764876
Nicaragua,6.012739658,8.526226997,0.852702439,66.10491943,0.716534257,0.042962451,0.731464922,0.805123985,0.380347282,0.416087627
Niger,4.234645844,6.812114716,0.682828248,53.15184021,0.701927304,0.006900825,0.814493895,0.674858928,0.325441957,0.474756449
Nigeria,5.219567776,8.619102478,0.804766953,45.47058487,0.797690511,0.032563467,0.904706836,0.731986105,0.2518363,0.500532091
North Cyprus,5.827127934,,0.807690263,,0.796233833,,0.670191407,0.64366436,0.346465379,0.293435723
Norway,7.596331596,11.06857204,0.959742844,70.78459167,0.954352319,0.105538845,0.409666121,0.849625945,0.209262192,0.349659204
Pakistan,5.548508167,8.488559723,0.626921296,57.39804459,0.634182811,0.081839837,0.79253006,0.647639751,0.33161667,0.323328614
Palestinian Territories,4.906618118,8.46180439,0.817770958,62.9549942,0.607669413,-0.132398888,0.812464654,0.592769146,0.377641797,0.420557737
Panama,6.117638111,9.990102768,0.882460237,67.82401276,0.884479761,-0.098418839,0.836976767,0.857623577,0.244131789,0.534175694
Paraguay,5.801380157,9.081317902,0.93986696,63.41120911,0.853534281,-0.058368079,0.756116271,0.924560964,0.197176188,0.476457238
Peru,5.700628757,9.386458397,0.802856445,65.26748657,0.829843879,-0.144014329,0.86591959,0.821674764,0.338006854,0.480143815
Philippines,5.430832863,8.890526772,0.821298718,59.59458923,0.907595754,-0.07619869,0.791962206,0.820969462,0.290232718,0.533455908
Poland,6.162076473,10.15000153,0.91739881,67.66214752,0.870707512,-0.100947499,0.847753942,0.77662462,0.223536044,0.312157542
Portugal,5.446637154,10.20860291,0.90463537,70.75627899,0.83806932,-0.232479244,0.922192395,0.683566213,0.326252729,0.45052737
Romania,5.96887064,9.942670822,0.809229195,66.94844818,0.8217206,-0.118267216,0.949044526,0.694415331,0.257763505,0.372027576
Russia,5.85494566,10.0623064,0.910927355,62.20749664,0.713606298,-0.192702174,0.925462723,0.636298656,0.142497227,0.365685463
Rwanda,3.332989931,7.455229282,0.665130913,55.09080887,0.910736382,0.034959052,0.158601388,0.752310693,0.285384238,0.602567494
Saudi Arabia,6.473921299,10.8228693,0.889932334,63.8508606,0.774267733,-0.157678083,,0.792998552,0.266292661,0.582817852
Senegal,4.59453392,7.769750595,0.838994384,57.88771057,0.743729651,-0.068176068,0.794353724,0.783817947,0.244851768,0.422206491
Serbia,5.752754688,9.484399796,0.894894958,66.06748199,0.614370823,-0.066844314,0.889765203,0.534827054,0.298126608,0.349061996
Sierra Leone,4.732953072,7.35323,0.656723499,44.01073456,0.681202114,0.110239767,0.863264859,0.583939135,0.456180692,0.674809217
Singapore,6.033480644,11.30000401,0.925128222,76.40869904,0.903735638,0.124826394,0.047311153,0.823988736,0.110942468,0.428276867
Slovakia,5.993163109,10.24734116,0.945179105,68.16325378,0.700098515,-0.075128973,0.916609168,0.774416089,0.232091576,0.282240212
Slovenia,5.936821461,10.28735638,0.934487343,70.80030823,0.903551102,-0.061483312,0.838474393,0.626205564,0.271624178,0.360811561
Somalia,4.667941093,,0.594416559,47.56276321,0.917322814,,0.44080174,0.891423166,0.193282232,0.491746068
South Africa,4.769739628,9.415353775,0.875389755,50.19886398,0.774136424,-0.08072304,0.812858999,0.785723627,0.301327765,0.568359911
South Korea,5.970564365,10.46794987,0.811163485,74.85412598,0.590956032,0.014718738,0.861816347,0.676223397,0.232732683,0.388548255
South Sudan,2.888112307,7.461285591,0.532151818,49.40060043,0.439919025,0.020208737,0.785317779,0.614770651,0.549256921,0.740203083
Spain,6.318612099,10.42780018,0.941736817,73.95972443,0.768173754,-0.058965199,0.818558574,0.652816117,0.300829351,0.384632498
Sweden,7.368744373,10.7443037,0.912060678,71.96144867,0.918036401,0.131494105,0.246182442,0.815695107,0.200606912,0.425117075
Switzerland,7.458519936,10.91751099,0.927628279,72.95709991,0.933947086,0.078058235,0.301562965,0.779470801,0.206316724,0.510792732
Taiwan Province of China,6.512850761,,0.894989252,70.98000336,0.718925178,,0.810521007,0.83315289,0.108305417,0.396370918
Tajikistan,5.103721142,7.886899471,0.856656969,61.75904465,0.703026891,0.014901498,0.631887853,0.644484639,0.219799668,0.336324602
Tanzania,2.90273428,7.867351055,0.63775593,56.47374725,0.77548492,0.17222707,0.739247262,0.693552375,0.245985955,0.607147813
Thailand,6.07363987,9.659873009,0.907543659,65.79955292,0.924145699,0.345912844,0.877978384,0.834758341,0.217879668,0.475905448
Togo,3.878578424,7.254558563,0.509440958,52.32989883,0.730286777,-0.000580561,0.815044165,0.604244173,0.482885897,0.499219447
Tunisia,4.521453381,9.288295746,0.701822102,64.56181335,0.614438355,-0.178914189,0.810745656,0.612341106,0.378108263,0.388674706
Turkey,5.326221943,9.873839378,0.879994631,65.59723663,0.64414674,,0.763706565,0.465150654,0.389962941,0.337579966
Turkmenistan,5.887051582,9.687180519,0.929032266,58.56221008,0.7485044,-0.022598082,,0.636388659,0.255499244,0.223470286
Uganda,4.233261108,7.465327263,0.753540218,51.46192932,0.739409745,0.14514184,0.811069787,0.667976141,0.410066664,0.655537009
Ukraine,4.028690338,8.929476738,0.884961367,63.21360397,0.5025419,0.031292569,0.891075134,0.588721693,0.219624251,0.385915518
United Arab Emirates,6.83095026,11.11108875,0.849379838,68.51036072,0.949119508,0.105393864,,0.775128484,0.244667903,0.531380653
United Kingdom,6.8242836,10.57133293,0.954068184,71.13896179,0.821192145,0.239862695,0.458313286,0.775853157,0.22958678,0.382931799
United States,6.803599834,10.87970638,0.896751285,70.12535095,0.757893085,0.128053293,0.738919556,0.80567354,0.264203817,0.69331491
Uruguay,6.171485424,9.904924393,0.900380909,68.25261688,0.886371911,-0.085547343,0.676212788,0.84154886,0.283180267,0.428162873
Uzbekistan,5.892539024,8.692045212,0.945102155,60.62257385,0.983803034,0.204992726,,0.841676295,0.146897659,0.564408362
Venezuela,4.041114807,9.534058571,0.901949286,64.74925995,0.457601577,-0.206144214,0.890124679,0.688201249,0.391754121,0.397182971
Vietnam,5.062267303,8.692119598,0.876323581,65.94213867,0.894351125,-0.088429682,0.799240172,0.536225736,0.222550198,0.436877966
Yemen,3.825630903,,0.775407016,54.24263,0.532964051,,,0.469345391,0.227924526,0.411020756
Zambia,4.347543716,8.198633194,0.76704663,52.88932419,0.811574519,0.114802308,0.770643592,0.730679512,0.372240722,0.68139255
Zimbabwe,3.7354002,7.422307968,0.768425405,51.72790909,0.732971489,-0.053070419,0.72361201,0.737635911,0.208554924,0.596690178
